Weight,Length,Species
242,25.4,A
290,26.3,A
340,26.5,A
363,29,A
430,29,A
450,29.7,A
500,29.7,A
390,30,A
450,30,A
500,30.7,A
475,31,A
500,31,A
500,31.5,A
340,32,A
600,32,A
600,32,A
700,33,A
700,33,A
610,33.5,A
650,33.5,A
575,34,A
685,34,A
620,34.5,A
680,35,A
700,35,A
725,35,A
720,35,A
714,36,A
850,36,A
1000,37,A
920,38.5,A
955,38.5,A
925,39.5,A
975,41,A
950,41,A
40,14.1,B
69,18.2,B
78,18.8,B
87,19.8,B
120,20,B
0,20.5,B
110,20.8,B
120,21,B
150,22,B
145,22,B
160,22.5,B
140,22.5,B
160,22.5,B
169,24,B
161,23.4,B
200,23.5,B
180,25.2,B
290,26,B
272,27,B
390,31.7,B
