전시명,장소,일정
인도 뉴델리 디지털 컨버전스 정보 통신 박람회 2023,인도 뉴델리 (Pragati Maidan),2023년 03월 27일(월) - 29일(수)
케냐 ICT 박람회 2023,케냐 나이로비 (Sarit Expo Centre),2023년 04월 26일(수) - 27일(목)
CHANNEL PARTNERS CONFERENCE & EXPO 2023,미국 라스베가스 (The Venetian Resort and Hotel),2023년 05월 01일(월) - 04일(목)
미국 산타클라라 엣지 컴퓨팅 박람회 2023,미국 산타클라라 (Santa Clara Convention Center),2023년 05월 17일(수) - 18일(목)
ISC - HIGH PERFORMANCE 2023,독일 프랑크푸르트 (Messe Frankfurt),2023년 05월 21일(일) - 25일(목)
중국 귀주성 국제 빅데이터 산업 전시회 2023,중국 구이양시 (Guiyang International Convention & Exhibition Center),2023년 5월 예정
바레인 ICT 미팅 컨퍼런스 및 박람회 2023,바레인  (Gulf Convention Centre),2023년 6월 예정
TERATEC FORUM 2023,프랑스 팔레조 (École polytechnique),2023년 6월 예정
일본 간사이 교육 ICT 박람회 2023,일본 오사카 (INTEX OSAKA (International Exhibition Center)),2023년 8월 예정
EXPO DIGITAL ENTER.CO 2023,콜롬비아 보고타 (Corferias (CORFERIAS Bogotá)),2023년 8월 예정
네델란드 암스테르담 엣지 컴퓨팅 박람회 2023,네덜란드 암스테르담 (RAI Amsterdam Convention Center),2023년 09월 26일(화) - 27일(수)
스페인 디지털 기업 박람회 2023,스페인 마드리드 (IFEMA),2023년 9월 예정
북아프리카 심리스 전자상거래 컨퍼런스 및 박람회 2023,이집트 카이로 (Egypt International Exhibition Center (EIEC)),2023년 9월 예정
케냐 ICT 서밋 박람회 2023,"케냐 나이로비 (Radisson Blu Hotel, Nairobi)",2023년 9월 예정
필리핀 심리스 전자상거래 컨퍼런스 및 박람회 2023 (온라인),필리핀 마닐라 (SMX Convention Center),2023년 9월 예정
싱가포르 IT 박람회 테크위크 2023,싱가포르 싱가포르 (Sands Expo & Convention Centre),2023년 10월 11일(수) - 12일(목)
싱가포르 빅데이터 및 AI 월드 박람회 2023,싱가포르 싱가포르 (Sands Expo & Convention Centre),2023년 10월 11일(수) - 12일(목)
싱가포르 클라우드 박람회 아시아 2023,싱가포르 싱가포르 (Sands Expo & Convention Centre),2023년 10월 11일(수) - 12일(목)
일본 기업 ICT 박람회 2023,일본 도쿄 (Tokyo Big Sight),2023년 10월 예정
홍콩 HKTDC 국제 ICT 박람회 2023,중국 홍콩 (HKCEC (Hong Kong Convention and Exhibition Centre)),2023년 10월 예정
영국 런던 글로벌 엣지 컴퓨팅 박람회 2023,영국 런던 (Olympia London),2023년 11월 30일(목) - 12월 01일(금)
남아프리카 ICT 서밋 박람회 2023,남아프리카공화국 이스트 런던 (EAST LONDON INTERNATIONAL CONVENTION CENTRE),2023년 11월 예정
BIG DATA WORLD ASIA 2023,말레이시아 쿠알라룸푸르 (KLCC (Kuala Lumpur Convention Centre)),2023년 11월 예정
SC 2023,미국 세인트 루이스 (America's Center Convention Complex),2023년 11월 예정
이집트 카이로 국제 IT 컨퍼런스 및 박람회 2023,이집트 카이로 (Cairo International Conference Center),2023년 11월 예정
영국 AI 및 빅데이터 박람회 2023,영국 런던 (Olympia London),2023년 12월 예정
